lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","1","single","Lợi ích nào sau đây không phải là lợi ích của thương mại điện tử đối với người tiêu dùng?","B","Đảm bảo chất lượng sản phẩm tốt hơn.","Tiết kiệm thời gian và chi phí mua sắm.","Đảm bảo chất lượng sản phẩm tốt hơn.","Tiếp cận sản phẩm đa dạng, phong phú.","So sánh giá cả dễ dàng hơn."
"1","2","single","Yếu tố nào sau đây không phải là một phần của quá trình mua hàng trực tuyến?","B","Thanh toán bằng tiền mặt","Tìm kiếm sản phẩm.","Thanh toán bằng tiền mặt","So sánh giá cả.","Đặt hàng"
"1","3","single","So với mô hình B2C, mô hình C2C có ưu điểm nổi bật nào?","D","Tính cá nhân hóa cao hơn.","Chất lượng sản phẩm đồng đều hơn.","Quy mô kinh doanh lớn hơn.","Chi phí vận hành thấp hơn","Tính cá nhân hóa cao hơn."
"1","4","single","Tại sao các doanh nghiệp truyền thống thường gặp khó khăn khi chuyển đổi sang mô hình kinh doanh trực tuyến?","D","Tất cả các yếu tố đều đúng.","Sức cạnh tranh từ các đối thủ trực tuyến quá lớn.","Không có kinh nghiệm về công nghệ.","Thiếu vốn đầu tư.","Tất cả các yếu tố đều đúng."
"1","5","single","Khái niệm ""cá nhân hóa"" trong thương mại điện tử có ý nghĩa gì?","C","Cung cấp sản phẩm, dịch vụ phù hợp với nhu cầu và sở thích của từng khách hàng.","Tùy chỉnh giao diện website cho từng khách hàng.","Cung cấp sản phẩm, dịch vụ giống nhau cho tất cả khách hàng.","Cung cấp sản phẩm, dịch vụ phù hợp với nhu cầu và sở thích của từng khách hàng.","Thu thập thông tin cá nhân của khách hàng."
"1","6","single","Theo bạn, mô hình kinh doanh nào sau đây phù hợp nhất cho việc bán các sản phẩm thủ công mỹ nghệ?","D","C2C","B2G","B2C","B2B","C2C"
"1","7","single","Thương mại điện tử giúp người tiêu dùng như thế nào?","A","Mua sắm dễ dàng và tiện lợi hơn.","Mua sắm dễ dàng và tiện lợi hơn.","Giảm sự lựa chọn sản phẩm.","Giảm cơ hội tiếp cận thông tin sản phẩm.","Tăng chi phí mua sắm."
"1","8","single","Một trong các lợi ích của TMĐT đối với người tiêu dùng là khả năng mua hàng theo yêu cầu riêng biệt. Điều này có ý nghĩa gì?","B","Người tiêu dùng có thể đặt hàng theo các yêu cầu riêng của mình mà không phải trả thêm chi phí cao","Người tiêu dùng không thể thay đổi yêu cầu của mình sau khi đặt hàng","Người tiêu dùng có thể đặt hàng theo các yêu cầu riêng của mình mà không phải trả thêm chi phí cao","Người tiêu dùng không thể tùy chọn sản phẩm theo yêu cầu riêng","Người tiêu dùng chỉ có thể mua hàng từ các nhà cung cấp trong nước"
"1","9","single","Trở ngại nào dưới đây không phải là vấn đề công nghệ đối với TMĐT?","D","Thiếu niềm tin vào TMĐT","Thiếu cơ sở hạ tầng mạng.","Thiếu các tiêu chuẩn an ninh","Thiếu các phần mềm hỗ trợ TMĐT","Thiếu niềm tin vào TMĐT"
"1","10","single","Tại sao thương mại điện tử giúp giảm chi phí cho doanh nghiệp?","B","Tất cả các đáp án đều đúng.","Giảm chi phí in ấn, giấy tờ.","Tất cả các đáp án đều đúng.","Giảm chi phí quản lý kho hàng.","Giảm chi phí thuê mặt bằng."
"1","11","single","Ưu điểm lớn nhất của thương mại điện tử đối với người tiêu dùng là gì?","C","Mua sắm mọi lúc mọi nơi.","Không phải lựa chọn sản phẩm.","So sánh giá dễ dàng.","Mua sắm mọi lúc mọi nơi.","Tiếp cận nhiều sản phẩm hơn."
"1","12","single","Một trong những trở ngại lớn nhất của thương mại điện tử là gì?","D","An ninh mạng.","Thiếu hụt nguồn nhân lực.","Chi phí vận hành cao.","Thiếu chính sách pháp lý rõ ràng.","An ninh mạng."
"1","13","single","Tại sao nhiều người vẫn e ngại khi mua sắm trực tuyến?","B","Sợ bị lừa đảo.","Không muốn chờ đợi giao hàng.","Sợ bị lừa đảo.","Lo ngại về chất lượng sản phẩm.","Khó kiểm soát thông tin cá nhân."
"1","14","single","Thương mại điện tử có những hình thức nào?","A","Tất cả các đáp án đều đúng","Tất cả các đáp án đều đúng","B2B, B2C, C2C, B2G, C2G.","B2B, B2C, C2C, B2G, C2G, B2E","B2B, B2C, C2C."
"1","15","single","Để thành công trong kinh doanh trực tuyến, doanh nghiệp cần tập trung vào yếu tố nào?","C","Tất cả đều đúng","Marketing hiệu quả.","Dịch vụ khách hàng tốt.","Tất cả đều đúng","Sản phẩm chất lượng."
"1","16","single","Thương mại điện tử ảnh hưởng đến doanh nghiệp như thế nào?","C","Tất cả đều đúng","Tăng cường cạnh tranh.","Mở rộng thị trường.","Tất cả đều đúng","Giảm chi phí hoạt động."
"1","17","single","Để phân tích sự thành công của một doanh nghiệp thương mại điện tử, nên xem xét các yếu tố nào sau đây?","B","Tất cả đều đúng","Chiến lược marketing, mô hình kinh doanh, công nghệ, dịch vụ khách hàng.","Tất cả đều đúng","Chiến lược marketing, mô hình kinh doanh, công nghệ, dịch vụ khách hàng. Quy mô vốn, số lượng nhân viên, thị phần.","Chất lượng sản phẩm, giá cả cạnh tranh, hình thức thanh toán."
"1","18","single","Tại sao việc bảo vệ quyền sở hữu trí tuệ lại quan trọng trong thương mại điện tử?","B","Tất cả các đáp án đều đúng.","Đảm bảo tính minh bạch của thị trường.","Tất cả các đáp án đều đúng.","Ngăn chặn hàng giả, hàng nhái.","Bảo vệ lợi ích của các doanh nghiệp."
"1","20","single","Thương mại điện tử có tác động gì đến xã hội?","C","Nâng cao chất lượng cuộc sống.","Giảm cơ hội việc làm.","Tăng ô nhiễm môi trường.","Nâng cao chất lượng cuộc sống.","Giảm khả năng tiếp cận thông tin."
"1","21","single","Lý do gì khiến TMĐT vẫn phát triển mặc dù có những trở ngại nhất định?","D","Các lợi ích của TMĐT vượt trội hơn so với các trở ngại","TMĐT không phát triển mạnh","Chỉ có một số ít người tham gia TMĐT","TMĐT không có trở ngại nào","Các lợi ích của TMĐT vượt trội hơn so với các trở ngại"
"1","22","single","Để khắc phục vấn đề an ninh trong thương mại điện tử, doanh nghiệp cần làm gì?","C","Sử dụng các hệ thống mã hóa dữ liệu.","Giáo dục người dùng về an toàn thông tin.","Tăng cường kiểm tra nhân viên.","Sử dụng các hệ thống mã hóa dữ liệu.","Xây dựng chính sách bảo mật thông tin."
"1","23","single","Tại sao các doanh nghiệp nhỏ và vừa lại có cơ hội phát triển trong môi trường thương mại điện tử?","C","Chi phí tiếp cận thị trường thấp hơn.","Khả năng mở rộng quy mô nhanh chóng.","Linh hoạt thay đổi chiến lược.","Chi phí tiếp cận thị trường thấp hơn.","Dễ dàng cạnh tranh với các doanh nghiệp lớn."
"1","24","single","Mô hình thương mại điện tử B2C có nghĩa là gì?","C","Doanh nghiệp bán hàng cho người tiêu dùng.","Doanh nghiệp bán hàng cho doanh nghiệp khác.","Người tiêu dùng bán hàng cho người tiêu dùng khác.","Doanh nghiệp bán hàng cho người tiêu dùng.","Người tiêu dùng bán hàng cho doanh nghiệp."
"1","25","single","Hãy xác định khái niệm đúng về thương mại điện tử?","C","Tất cả các đáp án đều đúng.","Mua bán hàng hóa, dịch vụ thông qua các nền tảng trực tuyến.","Toàn bộ các hoạt động kinh doanh được tiến hành bằng các phương tiện điện tử.","Tất cả các đáp án đều đúng.","Việc sử dụng công nghệ thông tin để thực hiện các giao dịch thương mại."
"1","26","single","Yếu tố nào quan trọng nhất để thúc đẩy sự phát triển của thương mại điện tử ở Việt Nam?","D","Hạ tầng công nghệ thông tin được cải thiện.","Khả năng cạnh tranh của các doanh nghiệp nội địa.","Chính sách hỗ trợ từ nhà nước.","Sự tăng trưởng của tầng lớp người tiêu dùng trẻ.","Hạ tầng công nghệ thông tin được cải thiện."
"1","27","single","Yếu tố nào sau đây không phải là đặc điểm của thương mại điện tử?","D","Tính ổn định cao.","Tính linh hoạt.","Tính toàn cầu.","Tính tương tác cao.","Tính ổn định cao."
"1","28","single","Yếu tố nào sau đây được xem là quan trọng nhất để một doanh nghiệp thành công trong kinh doanh thương mại điện tử?","D","Trải nghiệm khách hàng tốt.","Chi phí marketing thấp.","Sản phẩm đa dạng và độc đáo.","Hệ thống thanh toán an toàn.","Trải nghiệm khách hàng tốt."
"1","29","single","Lợi ích lớn nhất mà thương mại điện tử mang lại cho doanh nghiệp là gì?","D","Mở rộng thị trường.","Giảm chi phí vận hành.","Xây dựng hình ảnh thương hiệu.","Tăng cường tương tác với khách hàng.","Mở rộng thị trường."
"1","30","single","Việc cá nhân hóa trong thương mại điện tử có ý nghĩa như thế nào?","C","(1) (2) đều đúng","(1) (2) đều sai","Tăng doanh thu cho doanh nghiệp. (2)","(1) (2) đều đúng","Tăng trải nghiệm mua sâm cho khách hàng. (1)"
"2","1","single","Giả sử bạn là một doanh nghiệp kinh doanh trực tuyến, bạn sẽ áp dụng các quy định pháp luật nào để đảm bảo rằng các giao dịch của bạn trên môi trường mạng là hợp pháp và an toàn?","A","Áp dụng Luật Thương mại, Luật Giao dịch điện tử, và bảo mật dữ liệu số để đảm bảo an toàn và tính pháp lý của các giao dịch","Áp dụng Luật Thương mại, Luật Giao dịch điện tử, và bảo mật dữ liệu số để đảm bảo an toàn và tính pháp lý của các giao dịch","Cung cấp dịch vụ chăm sóc khách hàng và bỏ qua các yêu cầu pháp lý","Đảm bảo các giao dịch chỉ thực hiện qua điện thoại","Chỉ áp dụng các quy định về thuế và bảo vệ người tiêu dùng"
"2","2","single","Một trong những yếu tố cơ sở hạ tầng quan trọng giúp TMĐT phát triển là gì?","A","Hệ thống mạng internet và thanh toán điện tử","Hệ thống mạng internet và thanh toán điện tử","Quản lý tài chính quốc gia.","Các cửa hàng vật lý truyền thống","Sự phát triển của ngành nông nghiệp"
"2","3","single","Tại sao cơ sở hạ tầng vật chất và kỹ thuật lại quan trọng đối với TMĐT?","C","Vì nó đảm bảo việc thực hiện các giao dịch TMĐT diễn ra nhanh chóng và hiệu quả","Vì nó chỉ hỗ trợ các dịch vụ khách hàng trực tuyến","Vì nó giúp tăng cường hoạt động marketing cho doanh nghiệp","Vì nó đảm bảo việc thực hiện các giao dịch TMĐT diễn ra nhanh chóng và hiệu quả","Vì nó giảm chi phí sản xuất cho doanh nghiệp"
"2","4","single","Chữ ký điện tử trong giao dịch điện tử có giá trị pháp lý tương đương với chữ ký tay trong điều kiện nào?","A","Khi có sự xác thực từ cơ quan nhà nước có thẩm quyền","Khi có sự xác thực từ cơ quan nhà nước có thẩm quyền","Khi được sử dụng trong các giao dịch tài chính","Khi người ký chứng thực giao dịch.","Khi người ký chấp nhận các điều khoản của giao dịch"
"2","5","single","Tại sao bảo mật dữ liệu lại quan trọng trong thương mại điện tử?","D","Đảm bảo an toàn cho thông tin cá nhân và ngăn chặn gian lận","Đảm bảo tốc độ truyền tải thông tin","Tăng số lượng người tiêu dùng tham gia vào các giao dịch","Giảm thiểu chi phí trong giao dịch","Đảm bảo an toàn cho thông tin cá nhân và ngăn chặn gian lận"
"2","6","single","Việc bảo vệ quyền sở hữu trí tuệ trong thương mại điện tử giúp ngăn chặn hành vi nào?","A","Sao chép nội dung và giả mạo thương hiệu","Sao chép nội dung và giả mạo thương hiệu","Tăng số lượng sản phẩm bán ra","Tăng lượng người dùng tham gia vào sàn giao dịch","Tăng cường các chương trình khuyến mãi trực tuyến"
"2","7","single","Quy định pháp luật về chữ ký điện tử và bảo mật dữ liệu số tại Việt Nam đã được quy định trong văn bản nào?","D","Luật Giao dịch điện tử và Nghị định 130/2018/NĐ-CP","Luật Sở hữu trí tuệ","Nghị định 52/2013/NĐ-CP","Luật Thương mại","Luật Giao dịch điện tử và Nghị định 130/2018/NĐ-CP"
"2","8","single","Yếu tố nào sau đây KHÔNG thuộc cơ sở hạ tầng kinh tế - xã hội của thương mại điện tử?","A","Nguồn nhân lực nông nghiệp.","Nguồn nhân lực nông nghiệp.","Hệ thống thanh toán điện tử.","Cơ sở vật chất kho bãi hiện đại.","Hệ thống giao thông vận tải."
"2","9","single","Kết cấu hạ tầng kỹ thuật trong TMĐT bao gồm các hệ thống nào?","D","Các hệ thống đường xá, cảng đường thủy, và mạng lưới điện","Các công cụ quản lý thông tin","Các phần mềm điện toán","Chỉ các hệ thống viễn thông","Các hệ thống đường xá, cảng đường thủy, và mạng lưới điện"
"2","10","single","Trong Thương mại điện tử, ứng dụng nào sau đây giúp người dùng gửi thông điệp điện tử giữa các hệ thống, phục vụ cho việc trao đổi thông tin trong giao dịch?","D","Thông điệp điện tử","Mạng thông tin toàn cầu (WWW)","Truyền/nhận tập tin","Trình duyệt Web","Thông điệp điện tử"
"2","11","single","Đâu là đáp án đúng về đặc điểm của phần mềm ứng dụng trong TMĐT?","C","Thường có chi phí thấp và dễ dàng triển khai cho các cửa hàng trực tuyến nhỏ.","Được sử dụng cho các doanh nghiệp lớn với lượng giao dịch cao.","Cung cấp đầy đủ các công cụ quản lý tồn kho và kế hoạch hóa nguồn lực.","Thường có chi phí thấp và dễ dàng triển khai cho các cửa hàng trực tuyến nhỏ.","Được thiết kế chủ yếu để phục vụ cho các hệ thống B2B."
"2","12","single","Giả sử bạn đang xây dựng một cửa hàng trực tuyến cho doanh nghiệp vừa và nhỏ. Doanh nghiệp này dự kiến sẽ có từ 50 đến 100 mặt hàng và giao dịch hàng ngày khá thường xuyên. Dựa vào yêu cầu của doanh nghiệp, bạn sẽ chọn phần mềm TMĐT nào dưới đây và lý do tại sao?","D","Phần mềm TMĐT cỡ trung vì cung cấp nhiều tính năng tùy chỉnh và khả năng xử lý giao dịch tốt.","Phần mềm TMĐT cỡ lớn vì có khả năng xử lý giao dịch quy mô lớn và tích hợp nhiều hệ thống phức tạp.","Phần mềm TMĐT cơ bản vì chi phí thấp và dễ triển khai.","Sử dụng phần mềm TMĐT miễn phí, không cần đăng ký để tiết kiệm chi phí.","Phần mềm TMĐT cỡ trung vì cung cấp nhiều tính năng tùy chỉnh và khả năng xử lý giao dịch tốt."
"2","13","single","Một trong các yếu tố ảnh hưởng đến TMĐT là gì?","D","Thiếu sự phát triển của các dịch vụ internet","Hệ thống pháp lý không rõ ràng","Hệ thống giao thông vận tải phát triển","Không có các dịch vụ chăm sóc khách hàng","Thiếu sự phát triển của các dịch vụ internet"
"2","14","single","Hạ tầng pháp luật trong thương mại điện tử có vai trò gì?","B","Tạo ra môi trường kinh doanh ổn định và bảo vệ quyền lợi của các bên tham gia","Đảm bảo rằng các sản phẩm bán qua Internet đều miễn thuế","Tạo ra môi trường kinh doanh ổn định và bảo vệ quyền lợi của các bên tham gia","Giới hạn sự phát triển của các sàn thương mại điện tử","Xác định các yếu tố về chiến lược marketing cho doanh nghiệp"
"2","15","single","Việc bảo vệ quyền sở hữu trí tuệ trong TMĐT có tác dụng gì đối với người tiêu dùng?","A","Tăng cường niềm tin vào sản phẩm chính hãng và đảm bảo chất lượng","Tăng cường niềm tin vào sản phẩm chính hãng và đảm bảo chất lượng","Giảm giá thành sản phẩm","Hạn chế sự đổi mới trong các giao dịch","Giới hạn sự phát triển của các sản phẩm sáng tạo"
"2","16","single","Một đặc điểm nổi bật của cơ sở hạ tầng pháp luật thương mại điện tử là gì?","C","Đảm bảo môi trường kinh doanh trực tuyến minh bạch và an toàn.","Đảm bảo tốc độ xử lý giao dịch nhanh chóng.","Hỗ trợ giảm chi phí vận hành cho doanh nghiệp.","Đảm bảo môi trường kinh doanh trực tuyến minh bạch và an toàn.","Tăng khả năng tiếp cận khách hàng toàn cầu."
"2","17","single","Khi một doanh nghiệp quyết định sử dụng phần mềm TMĐT để xây dựng cửa hàng trực tuyến, yếu tố nào sau đây ảnh hưởng nhiều đến quyết định lựa chọn phần mềm?","C","Ngân sách của doanh nghiệp và quy mô cửa hàng trực tuyến.","Số lượng nhân viên cần tuyển dụng.","Các hệ thống phần mềm không liên quan đến thương mại điện tử.","Ngân sách của doanh nghiệp và quy mô cửa hàng trực tuyến.","Mô hình kinh doanh offline của doanh nghiệp."
"2","18","single","Một trong những yêu cầu tối thiểu mà phần mềm TMĐT cần có để hoạt động hiệu quả là:","A","Trưng bày catalog sản phẩm, tính năng giỏ mua hàng và xử lý giao dịch.","Trưng bày catalog sản phẩm, tính năng giỏ mua hàng và xử lý giao dịch.","Tính năng quản lý nhân sự cho cửa hàng trực tuyến.","Quản lý tất cả các giao dịch tài chính trong doanh nghiệp.","Hệ thống quản lý bán hàng ngoại tuyến."
"2","19","single","Kết cấu hạ tầng kỹ thuật CNTT-TT cho thương mại điện tử bao gồm những yếu tố nào sau đây?","A","Bao gồm các mạng truyền thông, máy tính, cơ sở dữ liệu và các dịch vụ liên quan.","Bao gồm các mạng truyền thông, máy tính, cơ sở dữ liệu và các dịch vụ liên quan.","Chỉ bao gồm các máy tính và phần mềm.","Chỉ bao gồm các mạng truyền thông.","Chỉ bao gồm mạng Internet."
"2","20","single","Hạ tầng kinh tế - xã hội của TMĐT bao gồm các yếu tố nào?","C","Các yếu tố kinh tế và xã hội hỗ trợ môi trường phát triển TMĐT","Các yếu tố chỉ liên quan đến doanh nghiệp","Chỉ có yếu tố kinh tế","Các yếu tố kinh tế và xã hội hỗ trợ môi trường phát triển TMĐT","Các yếu tố chỉ liên quan đến chính phủ"
"2","21","single","Theo Anh/chị, vai trò của chính phủ trong việc tạo lập môi trường kinh tế - xã hội cho TMĐT là gì?","A","Xây dựng chiến lược và ban hành chính sách hợp lý để hỗ trợ TMĐT","Xây dựng chiến lược và ban hành chính sách hợp lý để hỗ trợ TMĐT","Giới hạn các dịch vụ TMĐT","Tăng cường các hoạt động bán hàng tại các cửa hàng vật lý","Chỉ tập trung vào quảng cáo sản phẩm cho doanh nghiệp"
"2","22","single","Chức năng của chữ ký điện tử trong giao dịch điện tử là gì?","B","Xác thực tính toàn vẹn của thông điệp và xác định người ký","Thay thế các hình thức thanh toán trực tuyến","Xác thực tính toàn vẹn của thông điệp và xác định người ký","Đảm bảo tính bảo mật của sản phẩm trong giao dịch","Giúp khách hàng mua hàng trực tuyến"
"2","23","single","Đặc trưng nào sau đây không phải của cơ sở hạ tầng kỹ thuật cho thương mại điện tử?","A","Dễ dàng thay thế các thành phần","Dễ dàng thay thế các thành phần","Chi phí đầu tư ban đầu cao","Có thời gian tồn tại lâu dài","Có tính phụ thuộc lẫn nhau giữa các thành phần"
"2","24","single","Tại sao các doanh nghiệp cần tuân thủ các quy định về sở hữu trí tuệ trong TMDT?","A","Để ngăn chặn các hành vi sao chép, giả mạo và bảo vệ quyền lợi của doanh nghiệp","Để ngăn chặn các hành vi sao chép, giả mạo và bảo vệ quyền lợi của doanh nghiệp","Để giảm thiểu các chi phí quảng cáo","Để tăng nhanh số lượng sản phẩm trên thị trường","Để giảm chi phí sản xuất sản phẩm"
"2","25","single","Cơ sở hạ tầng kinh tế - xã hội phải đáp ứng điều kiện gì để đảm bảo TMDT phát triển?","D","Cung cấp hệ thống giao thông vận tải, kho bãi hiện đại, và thanh toán điện tử an toàn","Phải có các dịch vụ chăm sóc khách hàng miễn phí","Phải có các cửa hàng vật lý lớn","Chỉ có hệ thống vận chuyển tốt","Cung cấp hệ thống giao thông vận tải, kho bãi hiện đại, và thanh toán điện tử an toàn"
"2","26","single","Hạ tầng pháp luật giúp đảm bảo môi trường kinh doanh ổn định trong TMDT bằng cách nào?","D","Cung cấp các quy định về bảo vệ quyền lợi người tiêu dùng và ngăn chặn gian lận","Giới hạn các mô hình khinh doanh trực tuyến","Đẩm bảo rằng tất cả các doanh nghiệp bán hàng quan Internet đều phải thu thuế","Chỉ bảo vệ quyền lợi của các nhà cung cấp","Cung cấp các quy định về bảo vệ quyền lợi người tiêu dùng và ngăn chặn gian lận"
"2","27","single","Cơ sở hạ tầng vật chất, kỹ thuật trong TMĐT bao gồm yếu tố nào?","C","Hệ thống giao thông vận tải, cơ sở vật chất kho bãi, và thanh toán điện tử","Chỉ có dịch vụ chăm sóc khách hàng","Chỉ có hệ thống máy tính","Hệ thống giao thông vận tải, cơ sở vật chất kho bãi, và thanh toán điện tử","Quản lý tài chính của các công ty"
"2","28","single","Cơ sở hạ tầng nào đóng vai trò quan trọng nhất trong thương mại điện tử?","A","Mạng internet và hệ thống máy chủ","Mạng internet và hệ thống máy chủ","Hệ thống giao thông vận tải","Kênh truyền thông xã hội","Hệ thống cửa hàng truyền thống"
"2","29","single","Đâu là tầm quan trọng của an toàn và bảo mật trong TMDT?","B","Tất cả các đáp án đều đúng","Bảo vệ lợi ích kinh doanh","Tất cả các đáp án đều đúng","Bảo vệ thông tin khách hàng","Ngăn chặn gian lận"
"2","30","single","Hệ thống bảo mật nào sau đây thường được sử dụng trong thương mại điện tử để bảo vệ thông tin khách hàng?","A","SSL/TLS (Chứng chỉ bảo mật)","SSL/TLS (Chứng chỉ bảo mật)","Hệ thống điểm thưởng khách hàng thân thiết","Phần mềm quản lý kho hàng","Quảng cáo hiển thị (Display Ads)"
"3","1","single","Yếu tố nào sau đây thể hiện tính kết nối của thị trường điện tử?","C","Kết nối người mua và người bán trên phạm vi toàn cầu thông qua internet.","Kết nối trực tiếp giữa người mua và người bản thông qua giao dịch mặt đối mặt.","Kết nối khách hàng với các trung tâm thương mại qua giao dịch truyền thống.","Kết nối người mua và người bán trên phạm vi toàn cầu thông qua internet.","Kết nối người tiêu dùng với cửa hàng bán lẻ trong khu vực địa lý cụ thể."
"3","2","single","Thị trường điện tử khác biệt thị trường truyền thống ở điểm nào?","D","Hoạt động trên nền tảng trực tuyến và phi tập trung.","Chi phí giao dịch cao hơn.","Phụ thuộc vào địa điểm cố định.","Giao dịch chỉ trong giờ hành chính.","Hoạt động trên nền tảng trực tuyến và phi tập trung."
"3","3","single","Đặc điểm ""tính tức thời"" của thị trường điện tử mang lại lợi ích gì?","C","Cho phép giao dịch nhanh chóng và thuận tiện.","Tăng chi phí vận hành.","Giới hạn thời gian mua sắm.","Cho phép giao dịch nhanh chóng và thuận tiện.","Giảm khả năng mở rộng thị trường."
"3","4","single","Người bán trong thị trường điện tử được xác định là?","A","Các cá nhân hoặc tổ chức cung cấp sản phẩm/dịch vụ trực tuyến.","Các cá nhân hoặc tổ chức cung cấp sản phẩm/dịch vụ trực tuyến.","Các trung tâm thương mại lớn.","Các công ty logistics.","Các siêu thị vật lý."
"3","5","single","Vai trò của các bên trung gian trong thị trường điện tử là gì?","D","Hỗ trợ giao dịch giữa người mua và người bán","Đảm bảo sản phẩm được phân phối nội địa","Cung cấp dịch vụ logistics độc quyền.","Là người bán chính trong thị trường.","Hỗ trợ giao dịch giữa người mua và người bán"
"3","6","single","Công nghệ Big Data hỗ trợ TMĐT bằng cách nào?","D","Phân tích hành vi người dùng và tối ưu hóa chiến lược kinh doanh.","Giảm số lượng giao dịch.","Hạn chế khả năng mở rộng.","Tăng chi phí quản lý dữ liệu.","Phân tích hành vi người dùng và tối ưu hóa chiến lược kinh doanh."
"3","7","single","Nền tảng nào tập trung vào phân khúc C2C?","C","Shopee.","VNPost.","Amazon.","Shopee.","DHL."
"3","8","single","Dịch vụ nào sau đây cung cấp giao hàng nhanh trong ngày?","B","TikiNOW.","Shopee Mall.","TikiNOW.","VNPost Standard.","Giao Hàng Chậm."
"3","9","single","Phương pháp nào sau đây là một dạng nghiên cứu sơ cấp?","B","Khảo sát trực tuyến.","Sử dụng báo cáo thị trường.","Khảo sát trực tuyến.","Sử dụng dữ liệu thống kê chính phủ.","Phân tích từ dữ liệu công bố."
